job_id,title,career_cluster,company_name,region,city,salary,experience_level,education_required,technical_skills,soft_skills,preferred_traits,work_arrangement,company_size,industry_growth,posting_date,applications_received,job_views,save_rate,job_description
213,Animator,Creative Arts,Company 213,South America,Bogota,164632,Director,PhD,"Sketch, Adobe Creative Suite, Typography","Leadership, Interpersonal Skills, Creativity, Negotiation","Collaborative, Task-oriented, Analytical",Hybrid,Medium (201-1000),Slow Growth,2025-03-30,325,3250,0.16,"This is a Director Animator position requiring expertise in Sketch, Adobe Creative Suite, Typography. The ideal candidate should have strong Leadership, Interpersonal Skills, Creativity, Negotiation skills and be Collaborative, Task-oriented, Analytical."
214,Human Resources Manager,Business,Company 214,Asia,Tokyo,106695,Mid-level,PhD,"CRM Software, Budgeting, SQL, Microsoft Excel","Time Management, Problem Solving, Communication, Negotiation","Innovative, Analytical",Remote,Startup (1-50),High Growth,2025-03-25,427,5551,0.36,"This is a Mid-level Human Resources Manager position requiring expertise in CRM Software, Budgeting, SQL, Microsoft Excel. The ideal candidate should have strong Time Management, Problem Solving, Communication, Negotiation skills and be Innovative, Analytical."
215,Medical Researcher,Healthcare,Company 215,Asia,Dubai,251732,Executive,Associate's Degree,"Patient Care, Healthcare Regulations, Laboratory Techniques, Medical Terminology","Negotiation, Conflict Resolution","People-oriented, Methodical, Risk-taker",Flexible,Enterprise (10000+),Stable Growth,2025-03-29,81,1215,0.21,"This is a Executive Medical Researcher position requiring expertise in Patient Care, Healthcare Regulations, Laboratory Techniques, Medical Terminology. The ideal candidate should have strong Negotiation, Conflict Resolution skills and be People-oriented, Methodical, Risk-taker."
216,Physical Therapist,Healthcare,Company 216,Asia,Singapore,122137,Manager,High School,"Laboratory Techniques, Patient Care, Medical Software, Clinical Assessment","Time Management, Communication, Self-Motivation","Organized, People-oriented",On-site,Large (1000+),Slow Growth,2025-03-16,432,6480,0.39,"This is a Manager Physical Therapist position requiring expertise in Laboratory Techniques, Patient Care, Medical Software, Clinical Assessment. The ideal candidate should have strong Time Management, Communication, Self-Motivation skills and be Organized, People-oriented."
217,Academic Advisor,Education,Company 217,South America,Bogota,55626,Entry-level,Associate's Degree,"Learning Management Systems, Online Course Development, Instructional Design, Assessment","Self-Motivation, Creativity, Negotiation","Cautious, Independent",Flexible,Medium (201-1000),High Growth,2025-03-25,438,3942,0.22,"This is a Entry-level Academic Advisor position requiring expertise in Learning Management Systems, Online Course Development, Instructional Design, Assessment. The ideal candidate should have strong Self-Motivation, Creativity, Negotiation skills and be Cautious, Independent."
218,Cybersecurity Analyst,Technology,Company 218,Africa,Johannesburg,62877,Entry-level,PhD,"PyTorch, C++, React","Emotional Intelligence, Time Management, Teamwork, Conflict Resolution","Visionary, People-oriented",Remote,Startup (1-50),Emerging Field,2025-03-07,345,1725,0.33,"This is a Entry-level Cybersecurity Analyst position requiring expertise in PyTorch, C++, React. The ideal candidate should have strong Emotional Intelligence, Time Management, Teamwork, Conflict Resolution skills and be Visionary, People-oriented."
219,Business Analyst,Business,Company 219,Europe,Amsterdam,48685,Entry-level,Bachelor's Degree,"Tableau, PowerBI, Google Analytics, Data Analysis","Adaptability, Self-Motivation, Critical Thinking","Outgoing, Creative, Visionary",Hybrid,Enterprise (10000+),Moderate Growth,2025-03-10,361,3249,0.09,"This is a Entry-level Business Analyst position requiring expertise in Tableau, PowerBI, Google Analytics, Data Analysis. The ideal candidate should have strong Adaptability, Self-Motivation, Critical Thinking skills and be Outgoing, Creative, Visionary."
220,Materials Scientist,Science & Research,Company 220,North America,San Francisco,342181,Executive,PhD,"Laboratory Techniques, Data Analysis, Statistical Analysis, Scientific Instrumentation, Scientific Writing","Interpersonal Skills, Critical Thinking, Work Ethic","Risk-taker, Task-oriented, Collaborative",Remote,Large (1000+),Moderate Growth,2025-03-08,44,528,0.2,"This is a Executive Materials Scientist position requiring expertise in Laboratory Techniques, Data Analysis, Statistical Analysis, Scientific Instrumentation, Scientific Writing. The ideal candidate should have strong Interpersonal Skills, Critical Thinking, Work Ethic skills and be Risk-taker, Task-oriented, Collaborative."
221,Biomedical Engineer,Healthcare,Company 221,Australia,Perth,186316,Director,PhD,"Healthcare Regulations, Clinical Assessment, Laboratory Techniques, Chemistry","Interpersonal Skills, Emotional Intelligence, Work Ethic","Practical, Visionary, Innovative",Remote,Enterprise (10000+),High Growth,2025-03-09,13,156,0.18,"This is a Director Biomedical Engineer position requiring expertise in Healthcare Regulations, Clinical Assessment, Laboratory Techniques, Chemistry. The ideal candidate should have strong Interpersonal Skills, Emotional Intelligence, Work Ethic skills and be Practical, Visionary, Innovative."
222,Registered Nurse,Healthcare,Company 222,Africa,Johannesburg,151611,Senior,Associate's Degree,"Chemistry, Medical Software, Biology, Healthcare Regulations, Medical Terminology","Leadership, Problem Solving","Adaptable, Innovative, Detail-oriented",Flexible,Small (51-200),High Growth,2025-04-04,11,66,0.27,"This is a Senior Registered Nurse position requiring expertise in Chemistry, Medical Software, Biology, Healthcare Regulations, Medical Terminology. The ideal candidate should have strong Leadership, Problem Solving skills and be Adaptable, Innovative, Detail-oriented."
223,Teacher,Education,Company 223,Europe,Berlin,170250,Senior,Certification,"Assessment, Learning Management Systems, Instructional Design, Online Course Development, Curriculum Development","Emotional Intelligence, Problem Solving","Adaptable, Collaborative",Flexible,Small (51-200),High Growth,2025-03-27,262,3930,0.22,"This is a Senior Teacher position requiring expertise in Assessment, Learning Management Systems, Instructional Design, Online Course Development, Curriculum Development. The ideal candidate should have strong Emotional Intelligence, Problem Solving skills and be Adaptable, Collaborative."
224,Cloud Architect,Technology,Company 224,South America,Sao Paulo,393425,Executive,Certification,"Cloud Computing, JavaScript, CI/CD, Machine Learning, PyTorch, Docker","Attention to Detail, Adaptability, Critical Thinking","Analytical, Organized",Flexible,Enterprise (10000+),Slow Growth,2025-03-10,102,510,0.29,"This is a Executive Cloud Architect position requiring expertise in Cloud Computing, JavaScript, CI/CD, Machine Learning, PyTorch, Docker. The ideal candidate should have strong Attention to Detail, Adaptability, Critical Thinking skills and be Analytical, Organized."
225,Digital Artist,Creative Arts,Company 225,North America,San Francisco,106210,Mid-level,Associate's Degree,"After Effects, Blender, Illustrator, Adobe Creative Suite, UI/UX","Conflict Resolution, Creativity, Communication, Teamwork","Innovative, People-oriented, Methodical",Hybrid,Large (1000+),Stable Growth,2025-03-18,432,2160,0.15,"This is a Mid-level Digital Artist position requiring expertise in After Effects, Blender, Illustrator, Adobe Creative Suite, UI/UX. The ideal candidate should have strong Conflict Resolution, Creativity, Communication, Teamwork skills and be Innovative, People-oriented, Methodical."
226,Medical Technologist,Healthcare,Company 226,North America,Toronto,369186,Executive,Bachelor's Degree,"Healthcare Regulations, Electronic Health Records, Medical Terminology, Biology","Teamwork, Emotional Intelligence, Conflict Resolution","Practical, People-oriented",Hybrid,Large (1000+),Slow Growth,2025-03-17,77,1078,0.19,"This is a Executive Medical Technologist position requiring expertise in Healthcare Regulations, Electronic Health Records, Medical Terminology, Biology. The ideal candidate should have strong Teamwork, Emotional Intelligence, Conflict Resolution skills and be Practical, People-oriented."
227,Mobile Developer,Technology,Company 227,Australia,Brisbane,47228,Entry-level,High School,"JavaScript, Git, SQL, Machine Learning, Node.js, C++","Attention to Detail, Adaptability","Creative, Outgoing",Flexible,Startup (1-50),Emerging Field,2025-03-10,20,200,0.26,"This is a Entry-level Mobile Developer position requiring expertise in JavaScript, Git, SQL, Machine Learning, Node.js, C++. The ideal candidate should have strong Attention to Detail, Adaptability skills and be Creative, Outgoing."
228,Physician,Healthcare,Company 228,Africa,Lagos,112974,Senior,Associate's Degree,"Patient Care, Clinical Assessment, Medical Terminology, Healthcare Regulations, Medical Software, Biology","Leadership, Negotiation","Methodical, People-oriented",Remote,Startup (1-50),Stable Growth,2025-03-10,246,1722,0.24,"This is a Senior Physician position requiring expertise in Patient Care, Clinical Assessment, Medical Terminology, Healthcare Regulations, Medical Software, Biology. The ideal candidate should have strong Leadership, Negotiation skills and be Methodical, People-oriented."
229,Data Scientist,Technology,Company 229,North America,New York,156041,Director,PhD,"SQL, C++, CI/CD","Critical Thinking, Conflict Resolution, Problem Solving, Adaptability","Methodical, Innovative, Detail-oriented",Flexible,Startup (1-50),Emerging Field,2025-03-07,85,510,0.32,"This is a Director Data Scientist position requiring expertise in SQL, C++, CI/CD. The ideal candidate should have strong Critical Thinking, Conflict Resolution, Problem Solving, Adaptability skills and be Methodical, Innovative, Detail-oriented."
230,Special Education Teacher,Education,Company 230,Australia,Brisbane,179945,Manager,High School,"Educational Technology, Learning Management Systems, Online Course Development, Instructional Design, Assessment","Leadership, Communication, Critical Thinking","Task-oriented, Risk-taker, Practical",Hybrid,Small (51-200),Moderate Growth,2025-03-13,12,168,0.2,"This is a Manager Special Education Teacher position requiring expertise in Educational Technology, Learning Management Systems, Online Course Development, Instructional Design, Assessment. The ideal candidate should have strong Leadership, Communication, Critical Thinking skills and be Task-oriented, Risk-taker, Practical."
231,Medical Technologist,Healthcare,Company 231,Australia,Melbourne,226429,Director,Certification,"Electronic Health Records, Medical Software, Clinical Assessment","Creativity, Communication","Collaborative, Independent, Detail-oriented",On-site,Enterprise (10000+),Stable Growth,2025-03-08,287,4305,0.24,"This is a Director Medical Technologist position requiring expertise in Electronic Health Records, Medical Software, Clinical Assessment. The ideal candidate should have strong Creativity, Communication skills and be Collaborative, Independent, Detail-oriented."
232,Physicist,Science & Research,Company 232,South America,Sao Paulo,104744,Senior,Associate's Degree,"Research Methods, Experimental Design, Python, Scientific Writing, Laboratory Techniques, Scientific Instrumentation","Communication, Leadership, Critical Thinking, Emotional Intelligence","Organized, Outgoing",Flexible,Medium (201-1000),Emerging Field,2025-03-19,103,721,0.19,"This is a Senior Physicist position requiring expertise in Research Methods, Experimental Design, Python, Scientific Writing, Laboratory Techniques, Scientific Instrumentation. The ideal candidate should have strong Communication, Leadership, Critical Thinking, Emotional Intelligence skills and be Organized, Outgoing."
233,Educational Consultant,Education,Company 233,Africa,Johannesburg,116123,Mid-level,Associate's Degree,"Curriculum Development, Classroom Management, Assessment, Instructional Design, Educational Technology, Learning Management Systems","Adaptability, Creativity","Task-oriented, Creative",On-site,Medium (201-1000),Emerging Field,2025-03-22,449,5837,0.22,"This is a Mid-level Educational Consultant position requiring expertise in Curriculum Development, Classroom Management, Assessment, Instructional Design, Educational Technology, Learning Management Systems. The ideal candidate should have strong Adaptability, Creativity skills and be Task-oriented, Creative."
234,Graphic Designer,Creative Arts,Company 234,Africa,Lagos,118172,Mid-level,Master's Degree,"Blender, Typography, Photoshop, After Effects, Unreal Engine, Illustrator","Self-Motivation, Creativity, Critical Thinking, Attention to Detail","Cautious, Organized",Flexible,Enterprise (10000+),Stable Growth,2025-03-14,98,980,0.35,"This is a Mid-level Graphic Designer position requiring expertise in Blender, Typography, Photoshop, After Effects, Unreal Engine, Illustrator. The ideal candidate should have strong Self-Motivation, Creativity, Critical Thinking, Attention to Detail skills and be Cautious, Organized."
235,Software Engineer,Technology,Company 235,Africa,Cape Town,55787,Entry-level,High School,"Machine Learning, SQL, Cloud Computing, Python, CI/CD, Docker","Interpersonal Skills, Adaptability","Outgoing, Innovative, Adaptable",Remote,Enterprise (10000+),High Growth,2025-03-31,115,1610,0.31,"This is a Entry-level Software Engineer position requiring expertise in Machine Learning, SQL, Cloud Computing, Python, CI/CD, Docker. The ideal candidate should have strong Interpersonal Skills, Adaptability skills and be Outgoing, Innovative, Adaptable."
236,UI/UX Designer,Technology,Company 236,Asia,Bangalore,60754,Entry-level,Associate's Degree,"React, JavaScript, SQL, TensorFlow, Node.js","Leadership, Interpersonal Skills, Emotional Intelligence","Independent, Visionary, Analytical",On-site,Large (1000+),Slow Growth,2025-03-19,294,3822,0.35,"This is a Entry-level UI/UX Designer position requiring expertise in React, JavaScript, SQL, TensorFlow, Node.js. The ideal candidate should have strong Leadership, Interpersonal Skills, Emotional Intelligence skills and be Independent, Visionary, Analytical."
237,Game Developer,Creative Arts,Company 237,Australia,Melbourne,353114,Executive,Certification,"UI/UX, 3D Modeling, Unreal Engine, Adobe Creative Suite","Time Management, Interpersonal Skills","Task-oriented, Visionary",Remote,Enterprise (10000+),Slow Growth,2025-03-11,45,585,0.38,"This is a Executive Game Developer position requiring expertise in UI/UX, 3D Modeling, Unreal Engine, Adobe Creative Suite. The ideal candidate should have strong Time Management, Interpersonal Skills skills and be Task-oriented, Visionary."
238,Financial Analyst,Business,Company 238,Asia,Singapore,60965,Entry-level,Associate's Degree,"Financial Modeling, SQL, PowerBI","Interpersonal Skills, Adaptability, Teamwork","Task-oriented, Risk-taker, Detail-oriented",Flexible,Large (1000+),Slow Growth,2025-03-31,37,370,0.29,"This is a Entry-level Financial Analyst position requiring expertise in Financial Modeling, SQL, PowerBI. The ideal candidate should have strong Interpersonal Skills, Adaptability, Teamwork skills and be Task-oriented, Risk-taker, Detail-oriented."
239,Research Scientist,Science & Research,Company 239,South America,Sao Paulo,65067,Entry-level,Bachelor's Degree,"R, Statistical Analysis, MATLAB, Scientific Instrumentation","Interpersonal Skills, Communication, Time Management","Practical, Organized, Visionary",Remote,Startup (1-50),Stable Growth,2025-03-16,72,864,0.26,"This is a Entry-level Research Scientist position requiring expertise in R, Statistical Analysis, MATLAB, Scientific Instrumentation. The ideal candidate should have strong Interpersonal Skills, Communication, Time Management skills and be Practical, Organized, Visionary."
240,Biomedical Engineer,Healthcare,Company 240,Africa,Nairobi,275465,Executive,High School,"Healthcare Regulations, Medical Software, Clinical Assessment, Biology","Work Ethic, Adaptability, Time Management, Interpersonal Skills","Cautious, Innovative",Remote,Enterprise (10000+),Moderate Growth,2025-03-25,212,2544,0.33,"This is a Executive Biomedical Engineer position requiring expertise in Healthcare Regulations, Medical Software, Clinical Assessment, Biology. The ideal candidate should have strong Work Ethic, Adaptability, Time Management, Interpersonal Skills skills and be Cautious, Innovative."
241,Management Consultant,Business,Company 241,Asia,Bangalore,182147,Manager,Associate's Degree,"PowerBI, Marketing, Financial Modeling, Tableau","Conflict Resolution, Communication, Attention to Detail","Independent, Analytical, Innovative",On-site,Small (51-200),High Growth,2025-03-08,277,2770,0.39,"This is a Manager Management Consultant position requiring expertise in PowerBI, Marketing, Financial Modeling, Tableau. The ideal candidate should have strong Conflict Resolution, Communication, Attention to Detail skills and be Independent, Analytical, Innovative."
242,Machine Learning Engineer,Technology,Company 242,Africa,Cairo,64823,Entry-level,PhD,"Java, JavaScript, Python","Creativity, Communication, Conflict Resolution","Cautious, Creative",On-site,Medium (201-1000),High Growth,2025-03-27,233,2796,0.1,"This is a Entry-level Machine Learning Engineer position requiring expertise in Java, JavaScript, Python. The ideal candidate should have strong Creativity, Communication, Conflict Resolution skills and be Cautious, Creative."
243,Physical Therapist,Healthcare,Company 243,North America,Toronto,177139,Manager,Associate's Degree,"Laboratory Techniques, Healthcare Regulations, Chemistry, Biology, Medical Software","Negotiation, Adaptability, Attention to Detail, Leadership","Cautious, Adaptable, Practical",On-site,Medium (201-1000),Stable Growth,2025-04-02,85,680,0.26,"This is a Manager Physical Therapist position requiring expertise in Laboratory Techniques, Healthcare Regulations, Chemistry, Biology, Medical Software. The ideal candidate should have strong Negotiation, Adaptability, Attention to Detail, Leadership skills and be Cautious, Adaptable, Practical."
244,Data Scientist,Technology,Company 244,Europe,Berlin,241190,Executive,High School,"C++, Docker, Cloud Computing","Teamwork, Attention to Detail, Time Management, Leadership","Visionary, Outgoing",Flexible,Large (1000+),Stable Growth,2025-03-14,134,2010,0.14,"This is a Executive Data Scientist position requiring expertise in C++, Docker, Cloud Computing. The ideal candidate should have strong Teamwork, Attention to Detail, Time Management, Leadership skills and be Visionary, Outgoing."
245,Medical Researcher,Healthcare,Company 245,North America,Austin,151764,Manager,High School,"Electronic Health Records, Medical Terminology, Biology","Conflict Resolution, Negotiation, Creativity, Interpersonal Skills","Risk-taker, Collaborative",On-site,Large (1000+),Emerging Field,2025-03-07,47,564,0.34,"This is a Manager Medical Researcher position requiring expertise in Electronic Health Records, Medical Terminology, Biology. The ideal candidate should have strong Conflict Resolution, Negotiation, Creativity, Interpersonal Skills skills and be Risk-taker, Collaborative."
246,Mobile Developer,Technology,Company 246,Australia,Perth,232289,Executive,Bachelor's Degree,"Node.js, Machine Learning, CI/CD, Cloud Computing, JavaScript, React","Conflict Resolution, Adaptability, Teamwork","Methodical, Task-oriented",Flexible,Startup (1-50),Moderate Growth,2025-03-22,122,976,0.24,"This is a Executive Mobile Developer position requiring expertise in Node.js, Machine Learning, CI/CD, Cloud Computing, JavaScript, React. The ideal candidate should have strong Conflict Resolution, Adaptability, Teamwork skills and be Methodical, Task-oriented."
247,Education Technology Specialist,Education,Company 247,North America,Seattle,174111,Senior,PhD,"Educational Technology, Learning Management Systems, Curriculum Development, Classroom Management","Emotional Intelligence, Work Ethic, Adaptability","Organized, Methodical, Independent",Flexible,Large (1000+),Stable Growth,2025-04-02,216,2592,0.18,"This is a Senior Education Technology Specialist position requiring expertise in Educational Technology, Learning Management Systems, Curriculum Development, Classroom Management. The ideal candidate should have strong Emotional Intelligence, Work Ethic, Adaptability skills and be Organized, Methodical, Independent."
248,Human Resources Manager,Business,Company 248,Asia,Singapore,217871,Executive,High School,"Marketing, PowerBI, Tableau, Budgeting, SQL, Google Analytics","Conflict Resolution, Leadership, Creativity","Visionary, Outgoing",Flexible,Startup (1-50),High Growth,2025-03-19,17,255,0.16,"This is a Executive Human Resources Manager position requiring expertise in Marketing, PowerBI, Tableau, Budgeting, SQL, Google Analytics. The ideal candidate should have strong Conflict Resolution, Leadership, Creativity skills and be Visionary, Outgoing."
249,Teacher,Education,Company 249,Australia,Melbourne,68376,Entry-level,Certification,"Educational Technology, Instructional Design, Online Course Development, Classroom Management","Work Ethic, Conflict Resolution, Emotional Intelligence","Creative, Organized, Practical",Hybrid,Enterprise (10000+),Moderate Growth,2025-04-04,449,4490,0.14,"This is a Entry-level Teacher position requiring expertise in Educational Technology, Instructional Design, Online Course Development, Classroom Management. The ideal candidate should have strong Work Ethic, Conflict Resolution, Emotional Intelligence skills and be Creative, Organized, Practical."
250,Special Education Teacher,Education,Company 250,North America,Toronto,209340,Director,Master's Degree,"Assessment, Online Course Development, Curriculum Development","Negotiation, Critical Thinking, Time Management","Visionary, Outgoing, Collaborative",Hybrid,Large (1000+),Moderate Growth,2025-03-13,380,3800,0.34,"This is a Director Special Education Teacher position requiring expertise in Assessment, Online Course Development, Curriculum Development. The ideal candidate should have strong Negotiation, Critical Thinking, Time Management skills and be Visionary, Outgoing, Collaborative."
251,Mobile Developer,Technology,Company 251,Australia,Perth,210981,Director,PhD,"Node.js, C++, PyTorch, Git","Problem Solving, Emotional Intelligence, Time Management, Teamwork","Analytical, Independent",Flexible,Small (51-200),Emerging Field,2025-03-17,240,3600,0.09,"This is a Director Mobile Developer position requiring expertise in Node.js, C++, PyTorch, Git. The ideal candidate should have strong Problem Solving, Emotional Intelligence, Time Management, Teamwork skills and be Analytical, Independent."
252,Software Engineer,Technology,Company 252,Africa,Cairo,164850,Manager,PhD,"Cloud Computing, Python, Kubernetes","Negotiation, Adaptability, Interpersonal Skills","Task-oriented, Visionary, Practical",Remote,Startup (1-50),Slow Growth,2025-03-18,228,1368,0.15,"This is a Manager Software Engineer position requiring expertise in Cloud Computing, Python, Kubernetes. The ideal candidate should have strong Negotiation, Adaptability, Interpersonal Skills skills and be Task-oriented, Visionary, Practical."
253,DevOps Engineer,Technology,Company 253,Asia,Seoul,240934,Director,Master's Degree,"Python, Cloud Computing, C++","Problem Solving, Attention to Detail","Collaborative, Independent",Hybrid,Startup (1-50),High Growth,2025-03-15,472,5192,0.11,"This is a Director DevOps Engineer position requiring expertise in Python, Cloud Computing, C++. The ideal candidate should have strong Problem Solving, Attention to Detail skills and be Collaborative, Independent."
254,Marketing Manager,Business,Company 254,Australia,Brisbane,47379,Entry-level,PhD,"Data Analysis, Budgeting, Google Analytics, Tableau","Work Ethic, Problem Solving, Self-Motivation","Cautious, Adaptable",Hybrid,Large (1000+),High Growth,2025-04-01,64,448,0.38,"This is a Entry-level Marketing Manager position requiring expertise in Data Analysis, Budgeting, Google Analytics, Tableau. The ideal candidate should have strong Work Ethic, Problem Solving, Self-Motivation skills and be Cautious, Adaptable."
255,Game Developer,Creative Arts,Company 255,Europe,Madrid,160679,Manager,Certification,"Unity, Unreal Engine, Blender, Illustrator, 3D Modeling, UI/UX","Critical Thinking, Creativity, Attention to Detail, Emotional Intelligence","Innovative, Visionary, Detail-oriented",Hybrid,Large (1000+),Emerging Field,2025-03-10,434,3472,0.07,"This is a Manager Game Developer position requiring expertise in Unity, Unreal Engine, Blender, Illustrator, 3D Modeling, UI/UX. The ideal candidate should have strong Critical Thinking, Creativity, Attention to Detail, Emotional Intelligence skills and be Innovative, Visionary, Detail-oriented."
256,Physical Therapist,Healthcare,Company 256,Asia,Dubai,156695,Director,Certification,"Patient Care, Medical Terminology, Clinical Assessment, Medical Software, Chemistry","Conflict Resolution, Emotional Intelligence, Teamwork, Leadership","Analytical, Task-oriented",Flexible,Small (51-200),Moderate Growth,2025-03-31,280,2800,0.34,"This is a Director Physical Therapist position requiring expertise in Patient Care, Medical Terminology, Clinical Assessment, Medical Software, Chemistry. The ideal candidate should have strong Conflict Resolution, Emotional Intelligence, Teamwork, Leadership skills and be Analytical, Task-oriented."
257,Animator,Creative Arts,Company 257,Asia,Dubai,151635,Senior,Master's Degree,"Adobe Creative Suite, Photoshop, Color Theory, Blender","Leadership, Attention to Detail, Adaptability","Outgoing, Cautious",Flexible,Medium (201-1000),Stable Growth,2025-03-16,121,847,0.32,"This is a Senior Animator position requiring expertise in Adobe Creative Suite, Photoshop, Color Theory, Blender. The ideal candidate should have strong Leadership, Attention to Detail, Adaptability skills and be Outgoing, Cautious."
258,Marketing Manager,Business,Company 258,Africa,Cairo,127296,Manager,High School,"Business Intelligence, Google Analytics, Marketing, Data Analysis, Financial Modeling","Interpersonal Skills, Teamwork, Creativity","Outgoing, Innovative",Remote,Startup (1-50),Moderate Growth,2025-04-01,135,1755,0.21,"This is a Manager Marketing Manager position requiring expertise in Business Intelligence, Google Analytics, Marketing, Data Analysis, Financial Modeling. The ideal candidate should have strong Interpersonal Skills, Teamwork, Creativity skills and be Outgoing, Innovative."
259,School Counselor,Education,Company 259,Australia,Brisbane,255272,Executive,Associate's Degree,"Learning Management Systems, Instructional Design, Assessment, Classroom Management","Critical Thinking, Creativity, Interpersonal Skills","Cautious, Innovative",On-site,Medium (201-1000),Stable Growth,2025-03-29,74,962,0.35,"This is a Executive School Counselor position requiring expertise in Learning Management Systems, Instructional Design, Assessment, Classroom Management. The ideal candidate should have strong Critical Thinking, Creativity, Interpersonal Skills skills and be Cautious, Innovative."
260,Materials Scientist,Science & Research,Company 260,South America,Bogota,78543,Mid-level,Bachelor's Degree,"Scientific Writing, Laboratory Techniques, Python","Interpersonal Skills, Attention to Detail, Teamwork, Problem Solving","Cautious, Task-oriented, Independent",Remote,Large (1000+),Moderate Growth,2025-03-31,349,3141,0.16,"This is a Mid-level Materials Scientist position requiring expertise in Scientific Writing, Laboratory Techniques, Python. The ideal candidate should have strong Interpersonal Skills, Attention to Detail, Teamwork, Problem Solving skills and be Cautious, Task-oriented, Independent."
261,Project Manager,Business,Company 261,South America,Buenos Aires,161030,Director,High School,"Data Analysis, Financial Modeling, Marketing, Project Management, CRM Software, Tableau","Problem Solving, Teamwork, Critical Thinking","Adaptable, Outgoing, Visionary",On-site,Small (51-200),Slow Growth,2025-03-29,438,4818,0.24,"This is a Director Project Manager position requiring expertise in Data Analysis, Financial Modeling, Marketing, Project Management, CRM Software, Tableau. The ideal candidate should have strong Problem Solving, Teamwork, Critical Thinking skills and be Adaptable, Outgoing, Visionary."
262,Environmental Scientist,Science & Research,Company 262,Australia,Brisbane,100359,Mid-level,PhD,"Experimental Design, Data Analysis, Python, MATLAB","Creativity, Work Ethic, Self-Motivation","Risk-taker, People-oriented",On-site,Large (1000+),Emerging Field,2025-03-10,23,345,0.1,"This is a Mid-level Environmental Scientist position requiring expertise in Experimental Design, Data Analysis, Python, MATLAB. The ideal candidate should have strong Creativity, Work Ethic, Self-Motivation skills and be Risk-taker, People-oriented."
263,Environmental Scientist,Science & Research,Company 263,Asia,Shanghai,159560,Manager,Bachelor's Degree,"Scientific Writing, Python, Laboratory Techniques, Experimental Design","Creativity, Time Management, Conflict Resolution","Outgoing, Task-oriented",On-site,Medium (201-1000),Emerging Field,2025-03-25,356,4984,0.39,"This is a Manager Environmental Scientist position requiring expertise in Scientific Writing, Python, Laboratory Techniques, Experimental Design. The ideal candidate should have strong Creativity, Time Management, Conflict Resolution skills and be Outgoing, Task-oriented."
264,Creative Director,Creative Arts,Company 264,Africa,Johannesburg,348015,Executive,PhD,"After Effects, Color Theory, Unity, Illustrator, 3D Modeling, Blender","Negotiation, Self-Motivation","Innovative, Independent, Adaptable",Remote,Enterprise (10000+),Slow Growth,2025-03-14,308,4312,0.18,"This is a Executive Creative Director position requiring expertise in After Effects, Color Theory, Unity, Illustrator, 3D Modeling, Blender. The ideal candidate should have strong Negotiation, Self-Motivation skills and be Innovative, Independent, Adaptable."
265,Special Education Teacher,Education,Company 265,Asia,Seoul,371474,Executive,PhD,"Classroom Management, Educational Technology, Online Course Development, Learning Management Systems, Instructional Design","Attention to Detail, Self-Motivation","Innovative, Risk-taker",Remote,Medium (201-1000),High Growth,2025-03-26,285,2565,0.32,"This is a Executive Special Education Teacher position requiring expertise in Classroom Management, Educational Technology, Online Course Development, Learning Management Systems, Instructional Design. The ideal candidate should have strong Attention to Detail, Self-Motivation skills and be Innovative, Risk-taker."
266,UI/UX Designer,Technology,Company 266,Asia,Singapore,178612,Manager,Certification,"SQL, AWS, React, Kubernetes, Node.js, TensorFlow","Self-Motivation, Adaptability","Innovative, Visionary",Hybrid,Large (1000+),Emerging Field,2025-03-11,304,2736,0.31,"This is a Manager UI/UX Designer position requiring expertise in SQL, AWS, React, Kubernetes, Node.js, TensorFlow. The ideal candidate should have strong Self-Motivation, Adaptability skills and be Innovative, Visionary."
267,Game Developer,Creative Arts,Company 267,South America,Santiago,228482,Director,High School,"Blender, Unreal Engine, 3D Modeling, Typography, Photoshop","Time Management, Communication","Analytical, Task-oriented",Remote,Enterprise (10000+),Moderate Growth,2025-03-12,132,1452,0.35,"This is a Director Game Developer position requiring expertise in Blender, Unreal Engine, 3D Modeling, Typography, Photoshop. The ideal candidate should have strong Time Management, Communication skills and be Analytical, Task-oriented."
268,Education Technology Specialist,Education,Company 268,Europe,Paris,66181,Entry-level,Master's Degree,"Assessment, Curriculum Development, Learning Management Systems, Educational Technology","Teamwork, Leadership, Conflict Resolution","Creative, Risk-taker, Cautious",Remote,Medium (201-1000),Stable Growth,2025-03-31,495,5445,0.19,"This is a Entry-level Education Technology Specialist position requiring expertise in Assessment, Curriculum Development, Learning Management Systems, Educational Technology. The ideal candidate should have strong Teamwork, Leadership, Conflict Resolution skills and be Creative, Risk-taker, Cautious."
269,Audio Engineer,Creative Arts,Company 269,North America,San Francisco,187336,Director,Master's Degree,"UI/UX, Color Theory, After Effects, 3D Modeling, Sketch, Illustrator","Teamwork, Interpersonal Skills, Negotiation","Adaptable, Analytical",Hybrid,Startup (1-50),High Growth,2025-03-11,34,442,0.28,"This is a Director Audio Engineer position requiring expertise in UI/UX, Color Theory, After Effects, 3D Modeling, Sketch, Illustrator. The ideal candidate should have strong Teamwork, Interpersonal Skills, Negotiation skills and be Adaptable, Analytical."
